COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
one,99877,229,8,602814,398,0,4,sat,little,considering,STAY
one,31988,50,23,230919,175,3,5,very_sat,little,actively_looking_into_it,STAY
zero,20522,52,0,962210,212,4,14,very_sat,little,considering,STAY
one,31079,0,5,227013,190,1,4,avg,little,actively_looking_into_it,STAY
zero,80004,92,0,304611,318,28,15,very_unsat,very_little,no,STAY
one,24296,233,0,935106,211,28,8,very_sat,very_little,no,STAY
zero,130056,60,0,858945,684,5,8,unsat,very_little,actively_looking_into_it,STAY
zero,43954,0,81,790045,155,1,1,unsat,very_little,considering,STAY
zero,32395,0,71,899513,186,0,1,sat,little,considering,STAY
one,86776,65,0,587745,291,5,14,sat,very_little,considering,STAY
one,99008,42,0,699134,378,5,11,very_unsat,high,actively_looking_into_it,STAY
zero,39589,84,11,530072,147,5,4,very_sat,high,never_thought,STAY
zero,90327,0,55,228635,284,0,2,very_sat,very_high,considering,STAY
one,114170,0,20,728011,260,1,5,avg,little,actively_looking_into_it,STAY
zero,28179,72,12,160717,247,5,5,very_sat,very_little,actively_looking_into_it,LEAVE
one,155145,29,18,717451,671,4,4,unsat,high,considering,STAY
zero,149779,0,21,570455,543,1,6,very_unsat,high,considering,STAY
zero,44379,56,76,202537,151,4,2,sat,little,considering,LEAVE
one,148162,28,72,510105,155,5,1,unsat,very_little,actively_looking_into_it,STAY
zero,118439,163,15,431797,853,16,6,unsat,very_little,considering,LEAVE
zero,71696,0,51,701093,322,0,1,avg,little,actively_looking_into_it,STAY
zero,58976,0,41,544956,302,1,1,very_unsat,little,considering,STAY
zero,96115,83,0,201780,376,5,8,very_unsat,high,considering,STAY
one,30025,0,0,446951,166,1,14,avg,very_high,actively_looking_into_it,LEAVE
one,159085,72,34,814095,475,5,1,very_sat,little,considering,STAY
one,77961,205,0,839613,382,24,13,very_sat,avg,no,STAY
one,57440,210,24,640642,353,27,4,very_unsat,little,considering,STAY
zero,81511,204,0,957071,304,20,9,very_sat,very_little,considering,STAY
one,45953,221,35,911122,168,10,1,very_sat,avg,considering,STAY
one,84372,0,0,828682,395,0,10,unsat,little,actively_looking_into_it,STAY
one,67529,61,25,628108,388,5,1,very_unsat,very_high,no,STAY
one,133722,0,77,163558,520,0,2,unsat,little,no,STAY
zero,69154,0,6,773011,362,1,6,unsat,very_little,actively_looking_into_it,STAY
zero,29754,56,0,965878,146,29,11,unsat,very_little,considering,STAY
one,22228,0,88,465563,160,0,2,very_sat,very_high,perhaps,LEAVE
one,55467,249,16,393098,400,20,4,very_sat,little,perhaps,STAY
zero,110639,92,7,318146,492,5,6,unsat,high,actively_looking_into_it,LEAVE
zero,33935,166,13,793189,147,11,4,unsat,little,no,STAY
one,80891,233,13,229681,345,19,6,unsat,very_little,considering,STAY
zero,30262,188,0,201765,353,19,12,unsat,very_little,considering,STAY
one,134683,0,63,995921,897,1,1,sat,little,considering,STAY
one,37726,0,0,815349,370,0,10,unsat,high,considering,LEAVE
zero,34355,0,76,381006,134,1,6,avg,little,actively_looking_into_it,STAY
one,44713,0,70,244136,229,1,1,very_sat,high,actively_looking_into_it,STAY
zero,38061,0,0,444814,176,3,15,very_unsat,very_little,actively_looking_into_it,STAY
one,136553,67,19,264902,737,4,5,very_unsat,very_high,considering,STAY
one,39593,0,23,896534,206,1,1,unsat,very_high,actively_looking_into_it,STAY
one,26452,0,85,291436,271,1,1,avg,little,actively_looking_into_it,STAY
zero,63944,0,10,622516,278,0,6,very_unsat,high,no,STAY
zero,49676,37,52,918298,488,4,2,avg,very_high,considering,STAY
zero,148237,0,0,967344,646,0,15,very_sat,very_high,no,STAY
one,155575,60,42,182937,829,3,2,unsat,very_high,perhaps,LEAVE
zero,58979,0,29,618655,346,1,1,very_sat,very_high,considering,STAY
zero,59480,0,0,808260,360,1,15,very_sat,little,considering,STAY
one,58042,0,73,229151,356,1,1,very_sat,very_high,no,STAY
one,118382,0,14,741539,498,1,5,very_sat,very_little,never_thought,STAY
zero,103563,60,0,409509,715,3,10,very_unsat,little,considering,STAY
one,133220,229,80,282387,456,13,13,very_unsat,very_high,no,LEAVE
zero,42663,0,34,644297,220,1,1,very_sat,avg,no,STAY
one,90029,220,58,203943,639,16,2,avg,very_little,no,LEAVE
one,55050,71,61,371115,274,3,2,very_unsat,very_high,considering,LEAVE
zero,95177,0,24,439663,368,1,5,very_unsat,little,considering,STAY
zero,24263,186,5,253639,228,25,5,very_sat,high,actively_looking_into_it,LEAVE
zero,105917,48,16,305951,842,4,5,unsat,little,actively_looking_into_it,LEAVE
zero,34090,43,23,961544,237,3,5,very_unsat,little,actively_looking_into_it,STAY
zero,24780,0,0,736839,229,29,2,very_sat,little,considering,STAY
zero,145547,0,36,756025,575,0,2,very_unsat,very_high,no,STAY
one,81461,0,0,640860,365,0,13,very_unsat,avg,considering,STAY
one,108751,197,22,911875,429,13,5,very_sat,high,considering,LEAVE
zero,135536,61,23,276806,733,3,5,unsat,very_high,considering,STAY
one,53646,68,73,170301,366,5,2,very_sat,avg,considering,STAY
zero,28240,0,17,516720,425,0,5,sat,little,no,STAY
one,55130,58,7,159385,329,4,1,very_unsat,little,no,STAY
zero,89247,93,19,166814,253,21,5,very_sat,very_little,considering,STAY
zero,35776,0,0,313602,149,0,2,avg,little,considering,STAY
zero,37840,0,23,704345,226,1,6,very_unsat,very_high,considering,STAY
zero,87825,0,13,194993,317,0,5,very_sat,high,no,STAY
zero,82789,0,0,254082,344,1,10,very_unsat,very_little,considering,STAY
one,121015,61,14,281429,891,18,4,unsat,little,considering,LEAVE
zero,30070,169,20,374680,143,21,5,unsat,little,never_thought,LEAVE
one,61412,0,0,816474,270,0,2,avg,very_little,never_thought,STAY
zero,77390,54,0,422322,359,5,10,very_sat,little,never_thought,STAY
one,71629,0,15,215300,334,0,5,very_sat,very_little,actively_looking_into_it,STAY
one,42798,0,32,642405,142,0,1,very_unsat,very_little,perhaps,STAY
one,32410,75,54,172014,161,3,1,unsat,very_high,considering,STAY
zero,52459,234,67,527114,384,11,1,very_unsat,high,considering,LEAVE
one,55039,57,0,731740,317,5,15,sat,little,considering,STAY
zero,82639,161,0,702772,163,21,14,avg,little,considering,STAY
one,154442,0,10,519265,834,0,4,very_unsat,very_little,never_thought,STAY
zero,94458,0,16,223897,322,3,6,unsat,very_little,no,STAY
one,53095,0,9,876201,388,1,6,very_unsat,very_little,actively_looking_into_it,STAY
one,137971,39,0,699851,725,4,14,avg,very_high,considering,LEAVE
zero,95540,76,73,585510,349,5,2,very_unsat,very_little,considering,STAY
one,116103,58,0,486430,568,5,10,very_unsat,very_little,considering,STAY
one,70617,0,19,411964,350,4,11,very_unsat,little,considering,STAY
zero,53253,181,69,352416,342,17,2,very_sat,little,never_thought,LEAVE
zero,42928,0,78,739424,244,0,2,unsat,very_little,actively_looking_into_it,STAY
one,86645,0,0,201931,345,1,13,very_sat,high,no,STAY
one,127859,200,14,319800,326,1,5,unsat,very_high,considering,STAY
zero,68545,0,15,475559,285,0,12,sat,high,no,STAY
zero,79285,53,22,458677,306,5,5,very_sat,very_high,considering,LEAVE
zero,149437,0,35,397772,785,1,14,very_sat,high,considering,LEAVE
one,104106,182,43,218439,845,1,2,very_unsat,very_high,considering,STAY
one,126067,0,51,645254,564,0,2,very_sat,little,considering,STAY
zero,40608,242,0,928544,209,26,12,unsat,high,considering,STAY
zero,71163,68,0,255505,338,5,9,very_unsat,little,considering,LEAVE
one,22415,67,0,168209,523,3,12,very_sat,high,perhaps,STAY
zero,149202,79,0,992910,523,5,10,unsat,very_little,considering,LEAVE
one,76459,0,0,205707,267,0,9,very_unsat,little,never_thought,STAY
one,28471,207,0,522977,148,1,12,very_unsat,little,considering,STAY
one,46625,62,0,181947,134,3,10,unsat,little,no,STAY
one,38074,0,9,999321,140,1,4,unsat,very_high,no,STAY
one,29923,219,78,156574,142,16,10,very_sat,very_little,considering,STAY
zero,21714,44,71,615596,178,5,1,very_sat,little,considering,STAY
one,102630,0,11,704177,529,1,5,sat,very_high,never_thought,STAY
zero,34648,204,74,341258,843,22,2,very_unsat,high,actively_looking_into_it,LEAVE
one,133556,192,0,647631,204,14,2,unsat,little,considering,STAY
one,113167,0,24,841928,429,0,4,very_unsat,little,no,STAY
zero,24437,0,11,727772,163,0,5,avg,very_little,actively_looking_into_it,STAY
zero,50225,0,8,193197,363,0,4,very_unsat,very_little,no,STAY
zero,94471,0,0,441503,313,1,5,very_unsat,little,considering,STAY
zero,44859,0,0,359020,247,1,15,very_sat,high,considering,STAY
one,40432,54,61,632701,154,4,1,very_unsat,little,actively_looking_into_it,STAY
zero,139021,230,23,860229,644,15,6,unsat,little,considering,LEAVE
zero,125441,0,21,291999,454,1,4,very_sat,little,actively_looking_into_it,STAY
zero,37941,0,0,949769,195,1,14,very_sat,little,considering,STAY
zero,157473,248,88,358233,409,29,1,avg,high,considering,STAY
zero,89901,0,81,459086,362,1,2,very_unsat,very_high,considering,STAY
zero,76113,209,0,192765,162,14,8,very_unsat,little,actively_looking_into_it,LEAVE
zero,96299,63,8,855256,379,5,5,very_sat,little,no,STAY
zero,83828,225,40,816166,342,15,2,very_unsat,very_high,considering,STAY
one,37168,0,5,791418,176,3,4,very_sat,very_little,considering,STAY
one,32797,189,0,955251,160,14,8,very_unsat,little,actively_looking_into_it,STAY
zero,26918,0,10,261614,179,0,6,sat,little,actively_looking_into_it,STAY
zero,38435,241,71,846412,190,17,13,very_unsat,little,no,STAY
one,58912,227,63,867137,322,28,1,very_unsat,high,considering,STAY
one,138458,0,0,177789,893,1,10,very_unsat,very_high,no,STAY
one,85965,215,13,419225,287,29,14,sat,little,actively_looking_into_it,STAY
zero,21285,0,10,361989,130,1,4,very_sat,high,actively_looking_into_it,STAY
zero,52018,0,31,980729,212,1,1,unsat,high,no,STAY
one,81266,50,21,413847,384,5,6,very_unsat,little,no,STAY
zero,116278,0,15,688560,648,1,5,very_unsat,little,no,STAY
zero,78418,176,0,486802,277,25,12,unsat,very_little,perhaps,STAY
one,116583,0,21,418396,481,0,4,very_sat,avg,considering,STAY
one,55581,0,20,834103,689,1,4,unsat,very_high,perhaps,STAY
one,35802,211,16,317611,219,5,4,very_sat,little,actively_looking_into_it,STAY
one,159176,59,54,842588,695,5,2,very_sat,very_little,actively_looking_into_it,STAY
zero,101787,0,12,851388,882,1,4,sat,high,considering,STAY
one,26816,0,48,958901,210,1,2,very_sat,high,no,STAY
one,138800,0,27,321226,887,1,4,unsat,little,actively_looking_into_it,STAY
zero,45463,243,19,267641,148,28,4,very_sat,very_little,no,STAY
zero,40766,192,11,779893,201,15,6,very_sat,very_little,actively_looking_into_it,STAY
one,23740,209,14,406190,199,22,5,unsat,little,considering,LEAVE
one,62678,0,11,422047,297,1,8,unsat,little,no,STAY
one,123112,0,78,922319,461,1,1,very_sat,avg,perhaps,LEAVE
zero,73773,0,0,885373,894,1,14,very_unsat,little,actively_looking_into_it,STAY
zero,128442,211,0,578785,794,27,11,very_unsat,little,considering,STAY
one,75931,0,29,649941,294,0,2,very_unsat,very_high,never_thought,STAY
zero,132352,0,22,351611,758,0,1,very_unsat,very_high,considering,STAY
zero,88991,0,21,420824,289,13,5,avg,little,never_thought,STAY
one,65637,0,44,865732,720,1,2,very_unsat,high,no,STAY
zero,115919,0,16,289998,879,1,6,very_sat,little,actively_looking_into_it,STAY
zero,141186,233,24,969977,862,17,6,very_sat,very_high,considering,LEAVE
one,49022,0,0,655601,199,0,14,very_sat,very_little,no,STAY
one,147401,0,0,419013,160,0,14,very_unsat,high,no,STAY
zero,103607,170,83,232378,871,5,2,very_unsat,very_little,considering,LEAVE
zero,28587,0,15,946204,202,0,5,very_sat,little,actively_looking_into_it,STAY
one,136125,82,16,719069,815,3,4,very_sat,little,perhaps,STAY
zero,133013,88,56,601897,813,4,1,avg,little,no,STAY
one,58034,61,8,937140,333,4,5,unsat,very_little,actively_looking_into_it,LEAVE
one,122141,58,6,249160,505,3,6,very_sat,very_little,actively_looking_into_it,LEAVE
zero,48147,36,17,501221,706,5,5,very_sat,little,considering,STAY
zero,85790,65,83,406841,204,5,1,very_sat,little,no,STAY
one,21238,0,0,297815,243,1,9,very_sat,very_high,considering,STAY
one,28811,0,0,152072,823,19,15,very_unsat,very_little,considering,STAY
one,24656,66,0,752214,141,4,9,very_sat,very_high,no,STAY
zero,149043,74,0,270962,234,3,11,very_unsat,little,considering,STAY
one,156211,190,0,179411,454,17,13,unsat,very_high,actively_looking_into_it,STAY
zero,58166,0,50,667666,308,0,2,very_sat,very_high,no,STAY
zero,70715,175,24,533978,292,24,4,unsat,little,no,STAY
one,104224,0,86,274453,547,1,1,very_sat,little,actively_looking_into_it,STAY
zero,92741,0,0,177371,266,0,14,very_sat,little,considering,STAY
zero,103413,0,18,725445,362,0,4,very_sat,very_little,considering,STAY
one,155013,49,37,531475,748,4,5,very_sat,little,no,LEAVE
one,85920,0,23,515004,340,27,6,very_sat,little,considering,STAY
zero,33980,0,0,552261,175,16,1,very_unsat,very_high,no,STAY
one,33414,0,0,232877,188,0,6,very_sat,very_high,actively_looking_into_it,STAY
zero,46531,200,0,366027,240,3,13,unsat,little,considering,LEAVE
zero,154472,64,25,197957,557,4,1,unsat,little,no,STAY
one,89304,200,0,856289,703,23,6,avg,very_high,actively_looking_into_it,STAY
one,59453,71,0,872009,390,3,8,unsat,very_high,no,STAY
zero,76059,175,17,789738,320,25,6,very_sat,little,considering,STAY
one,117833,56,0,224172,492,3,15,very_unsat,little,actively_looking_into_it,LEAVE
one,139333,0,20,942563,890,0,5,very_sat,very_high,considering,STAY
zero,99008,47,5,207052,290,3,6,unsat,avg,actively_looking_into_it,LEAVE
one,56909,191,11,156707,290,4,4,very_unsat,little,no,STAY
one,91878,267,74,177081,259,13,2,avg,very_high,considering,LEAVE
one,36483,213,0,607610,202,28,9,very_unsat,little,considering,STAY
zero,34798,68,57,517364,218,3,1,unsat,high,actively_looking_into_it,STAY
zero,141932,0,40,431141,873,1,2,very_unsat,very_little,actively_looking_into_it,LEAVE
one,39897,0,69,780835,240,0,2,avg,very_high,actively_looking_into_it,STAY
one,106887,232,0,242676,614,15,8,avg,little,considering,STAY
zero,104856,0,0,218840,631,1,12,very_unsat,little,never_thought,STAY
zero,48794,0,11,621360,227,0,6,very_unsat,little,actively_looking_into_it,STAY
zero,23231,0,24,536428,174,1,4,very_sat,high,never_thought,STAY
zero,48773,0,0,430299,231,0,10,avg,little,actively_looking_into_it,STAY
zero,51860,0,22,434354,573,1,5,very_sat,little,considering,STAY
one,159893,85,0,586919,859,5,9,unsat,high,actively_looking_into_it,STAY
zero,32694,0,10,285449,227,1,4,very_unsat,little,considering,STAY
one,23661,60,89,452563,194,3,1,avg,very_little,actively_looking_into_it,STAY
zero,67429,190,50,698659,385,25,2,unsat,very_little,no,STAY
zero,107930,49,40,234321,896,0,11,unsat,very_high,no,LEAVE
zero,72474,80,68,191031,749,4,2,avg,very_little,considering,LEAVE
zero,57116,0,0,778803,345,1,8,avg,little,considering,STAY
one,89914,179,15,559777,318,29,8,very_sat,little,actively_looking_into_it,LEAVE
zero,52413,208,0,568621,315,14,8,avg,little,actively_looking_into_it,STAY
zero,26966,0,0,414145,208,0,5,very_unsat,very_little,actively_looking_into_it,STAY
zero,42715,0,59,765742,315,4,1,very_sat,very_little,considering,LEAVE
one,94366,81,49,995622,349,3,1,unsat,little,actively_looking_into_it,STAY
one,75947,0,0,721881,393,1,14,unsat,very_little,considering,STAY
one,31731,75,23,700125,170,3,4,very_sat,little,never_thought,STAY
zero,113794,161,65,345865,496,12,1,avg,little,actively_looking_into_it,LEAVE
zero,131457,156,46,435374,487,27,5,very_unsat,little,considering,STAY
zero,75824,0,14,402882,352,25,5,unsat,avg,actively_looking_into_it,STAY
zero,55648,51,32,908933,332,5,1,avg,little,considering,STAY
zero,150616,43,14,252924,615,5,6,very_unsat,little,considering,STAY
one,44973,0,20,609489,184,1,6,very_unsat,very_little,considering,LEAVE
one,124440,0,60,576808,879,1,10,very_unsat,little,considering,STAY
zero,84496,197,37,243837,281,29,2,very_unsat,little,no,STAY
zero,65927,58,49,887963,272,4,1,very_unsat,little,considering,STAY
zero,102777,0,26,452999,786,0,2,very_unsat,little,perhaps,STAY
one,67942,0,16,605879,282,1,4,very_unsat,little,considering,STAY
zero,37290,0,81,200646,200,0,1,very_sat,very_high,considering,STAY
zero,32449,63,7,172010,142,4,4,very_unsat,very_little,considering,STAY
zero,75107,164,17,242719,253,15,4,sat,very_high,considering,LEAVE
one,98561,46,45,293976,297,5,2,very_unsat,very_high,no,STAY
zero,126401,151,24,670030,727,3,6,avg,little,considering,LEAVE
one,38846,70,0,824020,197,3,10,very_unsat,little,actively_looking_into_it,STAY
one,49787,199,60,656516,163,11,1,very_sat,avg,considering,STAY
zero,62362,0,15,767490,277,1,6,very_sat,very_little,perhaps,STAY
zero,154270,48,12,738079,487,3,5,very_unsat,little,no,STAY
one,45132,42,0,307647,430,5,10,very_unsat,little,actively_looking_into_it,LEAVE
zero,98969,0,13,535037,269,16,4,very_unsat,little,no,STAY
one,67964,0,68,179226,216,0,1,unsat,little,considering,STAY
one,158849,0,74,495191,581,0,1,very_sat,little,actively_looking_into_it,STAY
zero,41523,0,0,423599,232,1,10,unsat,very_high,considering,LEAVE
zero,146323,0,77,615076,656,1,2,very_unsat,very_high,actively_looking_into_it,STAY
one,70350,55,23,335654,344,4,4,unsat,very_high,actively_looking_into_it,STAY
zero,25884,154,0,212291,291,15,12,unsat,high,actively_looking_into_it,STAY
zero,144496,49,11,489039,581,3,4,very_sat,little,considering,STAY
zero,40030,0,23,162153,206,0,4,very_unsat,little,actively_looking_into_it,STAY
one,29061,167,51,866528,161,19,5,very_unsat,very_high,considering,STAY
one,53329,226,73,900167,315,24,2,avg,very_high,considering,STAY
zero,52027,0,43,669561,326,0,1,very_sat,very_high,actively_looking_into_it,STAY
zero,25350,238,44,712470,206,13,1,very_unsat,little,perhaps,STAY
one,43760,60,0,345936,143,11,13,unsat,little,actively_looking_into_it,LEAVE
one,43156,0,69,351870,192,0,2,very_sat,very_high,actively_looking_into_it,STAY
one,57370,0,0,586047,354,0,14,avg,very_high,never_thought,LEAVE
one,53091,190,32,322182,320,10,10,very_unsat,little,actively_looking_into_it,STAY
one,89066,47,24,299428,342,4,4,sat,little,considering,STAY
zero,43315,17,7,432252,177,4,5,unsat,high,never_thought,STAY
zero,150264,0,42,813162,660,0,1,unsat,little,considering,STAY
zero,40992,0,20,698360,225,1,6,avg,little,considering,STAY
one,28989,234,87,254377,188,25,2,very_sat,high,actively_looking_into_it,STAY
zero,77300,40,10,774111,374,5,5,very_unsat,very_high,considering,STAY
one,90603,59,84,209161,284,4,2,unsat,little,no,STAY
zero,88401,0,18,355542,426,0,4,very_unsat,very_little,actively_looking_into_it,STAY
zero,49650,54,72,803516,165,28,1,unsat,high,actively_looking_into_it,STAY
zero,50714,71,0,708017,269,5,14,very_unsat,very_little,never_thought,STAY
