Name,Platform,Genre,Rating,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Midnight Club: Street Racing,PS2,Racing,T,78,18,77,21,2.63
Skate 3,X360,Sports,T,80,65,79,127,2.63
Halo Wars,X360,Strategy,T,82,92,71,454,2.62
WWE SmackDown vs. RAW 2007,PS2,Fighting,T,80,27,85,57,2.58
Monster Hunter Freedom 2,PSP,Role-Playing,T,72,38,86,83,2.57
Crazy Taxi,PS2,Racing,T,80,15,78,46,2.52
Marvel: Ultimate Alliance,X360,Role-Playing,T,82,68,74,120,2.5
Rock Band,X360,Misc,T,92,72,81,178,2.47
Final Fantasy Tactics,PS,Role-Playing,T,83,12,81,190,2.45
Midnight Club: Los Angeles,PS3,Racing,T,82,50,81,100,2.45
The Sims: Bustin' Out,PS2,Simulation,T,81,26,83,42,2.43
Dragon Ball Z: Budokai 2,PS2,Fighting,T,66,28,81,92,2.41
Guitar Hero,PS2,Misc,T,91,65,86,173,2.38
The Incredibles,PS2,Action,T,62,36,75,22,2.37
Tony Hawk's Underground 2,PS2,Sports,T,83,59,87,55,2.37
Midnight Club: Los Angeles,X360,Racing,T,81,66,84,142,2.35
WWE SmackDown vs Raw 2008,PS2,Fighting,T,71,11,71,31,2.34
James Bond 007: Everything or Nothing,PS2,Shooter,T,84,42,90,51,2.31
Guild Wars 2,PC,Action,T,90,69,78,2954,2.31
Batman: Arkham Origins,PS3,Action,T,76,46,76,668,2.29
The Sims 3,X360,Simulation,T,76,42,70,71,2.28
Guitar Hero III: Legends of Rock,PS3,Misc,T,83,45,77,52,2.24
Call of Duty 3,Wii,Shooter,T,69,42,66,61,2.24
Dissidia: Final Fantasy,PSP,Fighting,T,79,61,79,139,2.23
Prince of Persia: The Sands of Time,PS2,Action,T,92,44,87,204,2.22
Monster Hunter Tri,Wii,Role-Playing,T,84,70,85,219,2.22
Star Wars: The Force Unleashed,PS3,Action,T,71,47,65,233,2.21
Guitar Hero II,X360,Misc,T,92,55,80,220,2.2
Rock Band 2,X360,Misc,T,92,69,82,156,2.2
Star Wars: Knights of the Old Republic,XB,Role-Playing,T,94,72,91,317,2.19
Final Fantasy XIII,X360,Role-Playing,T,82,54,62,539,2.16
The Sims: House Party,PC,Simulation,T,74,17,78,30,2.16
Overwatch,PS4,Shooter,T,90,31,60,1358,2.14
Call of Duty: Roads to Victory,PSP,Shooter,T,64,45,74,30,2.13
Dynasty Warriors 4,PS2,Action,T,78,24,92,201,2.11
World of Warcraft: Cataclysm,PC,Role-Playing,T,90,53,55,953,2.08
Rock Band,Wii,Misc,T,80,21,62,37,2.08
UFC 2009 Undisputed,X360,Fighting,T,83,68,78,51,2.06
Metal Gear Solid: Peace Walker,PSP,Action,T,89,66,88,443,2.06
SoulCalibur II,PS2,Fighting,T,92,41,87,120,2.06
Need For Speed: Undercover,PS3,Racing,T,59,40,58,71,2.05
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,Shooter,T,72,38,89,34,2.04
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,T,82,41,81,68,2.04
Dance Central 2,X360,Misc,T,86,56,81,63,2.04
Call of Duty 2,X360,Shooter,T,89,65,80,307,2.03
Fire Emblem: Awakening,3DS,Role-Playing,T,92,72,90,1130,2.01
Need for Speed: The Run,PS3,Action,T,64,48,63,182,2.01
Mortal Kombat vs. DC Universe,PS3,Fighting,T,76,44,70,107,2
Skate 3,PS3,Sports,T,80,46,75,82,1.98
Forza Horizon,X360,Racing,T,85,83,83,431,1.96
Def Jam Vendetta,PS2,Fighting,T,80,33,88,41,1.94
The Sims 3,PS3,Simulation,T,78,39,63,55,1.94
Dragon Ball Z: Budokai 3,PS2,Fighting,T,77,32,88,137,1.94
X-Men Legends,PS2,Role-Playing,T,79,48,84,69,1.93
Mortal Kombat vs. DC Universe,X360,Fighting,T,72,61,74,87,1.93
Destiny: The Taken King,PS4,Shooter,T,86,81,59,1079,1.93
The Sims: Makin' Magic,PC,Simulation,T,80,22,85,31,1.92
Guitar Hero: World Tour,PS3,Misc,T,84,43,74,80,1.92
Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,T,90,45,85,80,1.9
Batman: Arkham Origins,X360,Action,T,74,46,74,685,1.88
Star Fox Adventures,GC,Adventure,T,82,39,76,145,1.87
Dynasty Warriors 3,PS2,Action,T,78,17,90,90,1.87
The Legend of Dragoon,PS,Role-Playing,T,74,12,83,248,1.86
Star Wars: The Force Unleashed,Wii,Action,T,71,18,78,75,1.86
Chrono Cross,PS,Role-Playing,T,94,16,80,297,1.86
Jak 3,PS2,Platform,T,84,55,85,246,1.85
inFAMOUS 2,PS3,Action,T,83,90,83,932,1.82
World of Warcraft: Mists of Pandaria,PC,Role-Playing,T,82,42,47,1265,1.82
The Sims: Hot Date,PC,Simulation,T,85,17,78,70,1.82
Virtua Fighter 4,PS2,Fighting,T,94,36,79,84,1.81
Metroid Prime 3: Corruption,Wii,Shooter,T,90,62,88,491,1.79
Midnight Club II,PS2,Racing,T,85,41,84,47,1.78
Dead or Alive 3,XB,Fighting,T,87,35,85,44,1.77
UFC 2009 Undisputed,PS3,Fighting,T,84,58,80,47,1.76
The Urbz: Sims in the City,PS2,Simulation,T,70,25,81,24,1.76
Star Wars: Starfighter,PS2,Simulation,T,84,25,79,21,1.76
Star Wars: Battlefront,XB,Shooter,T,80,55,90,57,1.75
Xenosaga Episode I: Der Wille zur Macht,PS2,Role-Playing,T,83,35,86,99,1.74
Kinect Star Wars,X360,Action,T,55,61,34,145,1.74
Dragon Quest VI: Realms of Revelation,DS,Role-Playing,T,78,41,80,31,1.73
The Crew,PS4,Racing,T,61,60,53,575,1.72
Star Ocean: Till The End of Time,PS2,Role-Playing,T,80,55,76,134,1.72
The Beatles: Rock Band,Wii,Misc,T,89,25,88,43,1.71
Ace Combat 5: The Unsung War,PS2,Simulation,T,84,57,90,81,1.71
The Sims 3: Late Night Expansion Pack,PC,Simulation,T,74,17,52,77,1.7
No Man's Sky,PS4,Action,T,71,94,44,5096,1.7
Need For Speed: Undercover,X360,Racing,T,64,62,58,104,1.68
The Sims: Superstar,PC,Simulation,T,79,20,81,25,1.68
Star Wars Battlefront: Renegade Squadron,PSP,Shooter,T,73,35,78,46,1.67
Star Wars: Battlefront II,XB,Shooter,T,83,40,88,106,1.67
Spy Hunter,PS2,Racing,T,84,28,77,13,1.67
Fight Night Round 3,PS3,Fighting,T,83,37,78,24,1.67
StarCraft II: Heart of the Swarm,PC,Strategy,T,86,68,78,1346,1.67
Dragon Ball Z: Budokai Tenkaichi,PS2,Fighting,T,72,29,83,71,1.66
Star Wars The Clone Wars: Lightsaber Duels,Wii,Action,T,56,24,66,18,1.65
Heavenly Sword,PS3,Action,T,79,64,82,544,1.65
Rock Band,PS3,Misc,T,92,35,83,107,1.62
The Legend of Zelda: Twilight Princess,GC,Action,T,96,16,91,568,1.59
SoulCalibur IV,X360,Fighting,T,85,62,78,157,1.58
Conflict: Desert Storm,PS2,Shooter,T,55,10,85,45,1.57
Smuggler's Run,PS2,Racing,T,79,21,67,18,1.56
Fight Night Round 3,PS2,Fighting,T,84,32,80,41,1.56
Need for Speed: Most Wanted,X360,Racing,T,83,54,84,134,1.56
Stuntman,PS2,Racing,T,71,37,56,36,1.55
Guitar Hero 5,Wii,Misc,T,89,25,68,49,1.55
Dark Cloud,PS2,Role-Playing,T,80,27,81,99,1.54
Warcraft III: The Frozen Throne,PC,Strategy,T,88,23,89,713,1.54
Tom Clancy's Ghost Recon Advanced Warfighter,X360,Shooter,T,90,78,79,215,1.54
Uncharted: Golden Abyss,PSV,Shooter,T,80,80,73,770,1.53
The Simpsons Skateboarding,PS2,Sports,T,38,21,49,26,1.52
Fight Night Round 4,PS3,Fighting,T,88,46,75,95,1.52
The Simpsons Game,PS2,Action,T,68,10,81,27,1.51
The Simpsons Game,DS,Action,T,69,17,72,18,1.51
SoulCalibur II,GC,Fighting,T,93,45,90,135,1.5
Call of Duty 3,PS3,Shooter,T,80,43,68,92,1.5
Star Wars: The Force Unleashed II,PS3,Action,T,63,41,67,121,1.5
Rock Band 2,PS3,Misc,T,91,24,78,88,1.49
Final Fantasy: Crystal Chronicles,GC,Role-Playing,T,80,55,80,94,1.49
Medal of Honor: Frontline,XB,Shooter,T,81,18,68,23,1.49
Dirge of Cerberus: Final Fantasy VII,PS2,Shooter,T,57,51,68,103,1.48
007: Quantum of Solace,X360,Action,T,65,69,70,71,1.48
Fight Night 2004,PS2,Fighting,T,85,43,89,25,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,T,93,74,85,68,1.48
Fight Night Round 3,X360,Fighting,T,86,67,87,264,1.47
Xenogears,PS,Role-Playing,T,84,15,83,204,1.46
SoulCalibur IV,PS3,Fighting,T,85,65,78,129,1.46
Battlefield: Bad Company,X360,Shooter,T,83,70,76,263,1.46
Star Wars: The Force Unleashed II,X360,Action,T,61,59,56,180,1.43
WWE SmackDown vs Raw 2008,X360,Fighting,T,71,41,67,48,1.43
Anno 2070,PC,Strategy,T,83,33,69,493,1.43
Cabela's Big Game Hunter,PS2,Sports,T,59,7,77,12,1.42
UFC Undisputed 2010,PS3,Fighting,T,85,54,71,48,1.41
Fight Night Round 4,X360,Fighting,T,87,76,80,86,1.4
Dynasty Warriors 5,PS2,Action,T,69,29,87,68,1.39
Injustice: Gods Among Us,X360,Fighting,T,81,63,78,362,1.38
Dave Mirra Freestyle BMX 2,PS2,Sports,T,81,21,80,18,1.38
Star Wars Knights of the Old Republic II: The Sith Lords,XB,Role-Playing,T,86,67,85,140,1.37
The Sims 2,PSP,Simulation,T,65,17,68,32,1.37
Tom Clancy's Ghost Recon 2,XB,Shooter,T,80,53,88,58,1.36
Need for Speed: The Run,X360,Action,T,68,65,59,160,1.36
WWE '13,PS3,Action,T,76,24,80,99,1.35
MotorStorm: Pacific Rift,PS3,Racing,T,82,63,79,318,1.35
Samurai Warriors,PS2,Action,T,73,37,86,23,1.35
Test Drive,PS2,Racing,T,73,19,73,23,1.34
Metroid: Other M,Wii,Action,T,79,71,64,482,1.34
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,T,84,56,72,147,1.34
Monster Hunter Freedom,PSP,Role-Playing,T,71,34,85,78,1.34
Lost Planet: Extreme Condition,X360,Shooter,T,79,76,70,187,1.34
Battlefield: Bad Company,PS3,Shooter,T,84,50,80,203,1.34
Alan Wake,X360,Action,T,83,100,80,1156,1.33
Metroid Prime 2: Echoes,GC,Shooter,T,92,60,87,279,1.33
WWE SmackDown vs Raw 2008,PS3,Fighting,T,74,27,72,41,1.33
UFC Undisputed 2010,X360,Fighting,T,84,70,66,80,1.32
World of Warcraft: Wrath of the Lich King,PC,Role-Playing,T,91,47,74,930,1.32
Burnout 3: Takedown,XB,Racing,T,94,76,71,139,1.31
The Beatles: Rock Band,X360,Misc,T,89,76,85,127,1.3
SingStar '80s,PS2,Misc,T,78,22,82,6,1.3
Tekken 6,X360,Fighting,T,80,59,69,132,1.3
Transformers,PS2,Shooter,T,75,51,85,27,1.29
Champions of Norrath,PS2,Role-Playing,T,85,51,83,57,1.28
Castlevania: Symphony of the Night,PS,Platform,T,93,12,93,358,1.27
Guitar Hero: Aerosmith,Wii,Misc,T,73,16,71,19,1.27
The Sims 2: Nightlife,PC,Simulation,T,76,31,65,71,1.27
Dark Souls II,PS3,Role-Playing,T,91,69,80,1107,1.27
Tony Hawk's Underground,XB,Sports,T,85,33,90,26,1.27
.hack//Infection Part 1,PS2,Role-Playing,T,75,35,84,60,1.27
Valkyria Chronicles,PS3,Role-Playing,T,86,60,85,433,1.27
WWE '12,X360,Fighting,T,71,52,62,89,1.27
Battle Arena Toshinden,PS,Fighting,T,69,4,62,4,1.27
WWE '13,X360,Action,T,78,46,79,110,1.27
Final Fantasy X / X-2 HD Remaster,PS3,Role-Playing,T,85,50,84,332,1.27
Tomb Raider: Underworld,PS3,Action,T,75,42,71,166,1.26
Star Wars: The Force Unleashed,PS2,Action,T,68,7,73,33,1.25
Need for Speed: Most Wanted,X360,Racing,T,83,54,84,134,1.25
Lara Croft Tomb Raider: The Angel of Darkness,PS2,Action,T,52,37,61,106,1.25
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Action,T,87,45,85,34,1.25
Ratchet: Deadlocked,PS2,Shooter,T,81,51,88,155,1.24
Baldur's Gate: Dark Alliance,PS2,Role-Playing,T,87,29,82,90,1.24
Oddworld: Abe's Oddysee,PS,Platform,T,85,10,89,96,1.24
WWE SmackDown vs. Raw 2009,PS2,Fighting,T,78,9,68,34,1.24
Star Wars Episode III: Revenge of the Sith,XB,Action,T,61,44,80,54,1.24
Hyrule Warriors,WiiU,Action,T,76,81,82,662,1.23
Guitar Hero: Aerosmith,X360,Misc,T,70,59,66,48,1.23
Tales of Xillia,PS3,Role-Playing,T,78,65,81,468,1.22
Call of Duty: Finest Hour,XB,Shooter,T,73,55,77,22,1.21
Star Wars: Battlefront II,PSP,Shooter,T,69,22,84,111,1.21
Super Street Fighter IV: 3D Edition,3DS,Fighting,T,85,69,80,206,1.21
WWE 2K16,PS4,Sports,T,73,47,73,237,1.21
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,Fighting,T,76,34,82,130,1.21
Medal of Honor: Airborne,PS3,Shooter,T,75,16,75,39,1.21
The Lord of the Rings: The Fellowship of the Ring,PS2,Action,T,59,19,50,20,1.2
The Sims 2: Castaway,Wii,Simulation,T,73,19,81,10,1.2
Enter the Matrix,XB,Action,T,65,33,70,75,1.2
Destiny: The Taken King,XOne,Shooter,T,89,11,51,393,1.19
WWE SmackDown vs Raw 2008,PSP,Fighting,T,68,11,77,15,1.19
Injustice: Gods Among Us,PS3,Fighting,T,78,37,78,282,1.18
Shenmue,DC,Adventure,T,88,9,93,201,1.18
One Piece: Pirate Warriors,PS3,Action,T,64,33,64,55,1.18
WWE '12,PS3,Fighting,T,72,28,68,80,1.17
Cabela's Dangerous Hunts,PS2,Sports,T,57,4,83,37,1.17
WWE SmackDown vs. Raw 2010,PS3,Fighting,T,81,38,80,55,1.17
Medal of Honor: Rising Sun,XB,Shooter,T,65,23,57,28,1.17
Tom Clancy's Ghost Recon: Jungle Storm,PS2,Shooter,T,70,31,62,24,1.16
Bushido Blade,PS,Fighting,T,83,13,78,16,1.16
Mirror's Edge,X360,Platform,T,79,82,75,328,1.16
Final Fantasy Tactics: The War of the Lions,PSP,Role-Playing,T,88,41,79,238,1.16
Gauntlet: Dark Legacy,PS2,Action,T,73,15,82,30,1.15
Medal of Honor Heroes 2,PSP,Shooter,T,69,20,72,30,1.15
WWE 2K15,PS4,Sports,T,62,44,50,164,1.15
Shadow of the Colossus,PS2,Action,T,91,77,90,933,1.14
WWE 2K14,PS3,Sports,T,74,22,74,121,1.14
007: Quantum of Solace,PS3,Action,T,65,42,65,47,1.14
The Lord of the Rings: The Return of the King,XB,Action,T,84,31,90,31,1.14
Mobile Suit Gundam: Federation vs. Zeon,PS2,Simulation,T,73,15,87,32,1.14
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Fighting,T,79,60,81,201,1.14
MechAssault,XB,Simulation,T,87,32,79,47,1.13
Mirror's Edge,PS3,Platform,T,79,66,77,362,1.13
Guitar Hero 5,X360,Misc,T,85,69,67,108,1.13
SingStar,PS3,Misc,T,82,48,58,15,1.13
Rocksmith,PS3,Misc,T,80,27,82,52,1.12
Call Of Duty 2: Big Red One,XB,Shooter,T,78,46,50,27,1.12
Rocksmith,X360,Misc,T,77,30,81,62,1.12
Guitar Hero 5,PS2,Misc,T,71,4,25,10,1.12
Spider-Man 2,XB,Action,T,83,60,82,40,1.12
The Beatles: Rock Band,PS3,Misc,T,88,60,86,59,1.12
Guitar Hero Encore: Rocks The 80s,PS2,Misc,T,69,50,62,31,1.11
Rock Band,PS2,Misc,T,82,8,67,13,1.11
WWE 2K14,X360,Sports,T,75,43,76,100,1.11
Dragon Ball: XenoVerse,PS4,Fighting,T,69,50,76,598,1.11
Tales of Symphonia,GC,Role-Playing,T,86,60,84,176,1.1
Medal of Honor: Airborne,X360,Shooter,T,73,54,66,77,1.1
Guitar Hero 5,PS3,Misc,T,86,54,56,87,1.09
Untold Legends: Brotherhood of the Blade,PSP,Role-Playing,T,68,51,75,58,1.09
Star Wars: Bounty Hunter,PS2,Shooter,T,65,32,82,33,1.09
WWE SmackDown vs. Raw 2011,PS3,Fighting,T,74,42,68,41,1.09
Skate 2,X360,Sports,T,84,70,79,72,1.09
Empire: Total War,PC,Strategy,T,90,62,68,2981,1.08
Virtua Fighter 5,PS3,Fighting,T,85,47,73,67,1.08
Tom Clancy's Ghost Recon 2,PS2,Shooter,T,58,21,59,19,1.08
Star Wars: The Force Unleashed,PSP,Action,T,70,10,80,49,1.08
Dragon Ball Z: Taiketsu,GBA,Fighting,T,40,23,60,22,1.08
Star Fox: Assault,GC,Shooter,T,67,59,80,106,1.08
The Simpsons Game,PSP,Action,T,59,7,66,15,1.07
Call of Duty 3,PS2,Shooter,T,82,14,73,83,1.07
Prince of Persia,PS3,Action,T,85,59,72,245,1.07
Tomb Raider: Underworld,X360,Action,T,76,57,65,198,1.07
SoulCalibur III,PS2,Fighting,T,86,57,83,96,1.07
Naruto: Ultimate Ninja Storm,PS3,Fighting,T,75,32,85,95,1.07
Lightning Returns: Final Fantasy XIII,PS3,Role-Playing,T,66,62,58,552,1.07
DJ Hero,X360,Misc,T,84,72,79,42,1.06
Bully: Scholarship Edition,X360,Action,T,80,56,82,154,1.06
Hulk,PS2,Action,T,71,28,82,22,1.06
Overwatch,XOne,Shooter,T,91,18,55,668,1.06
Seek and Destroy,PS2,Racing,T,63,9,87,10,1.06
Mercenaries 2: World in Flames,X360,Shooter,T,72,69,71,152,1.06
Warhawk,PS3,Simulation,T,84,50,83,183,1.06
DiRT 3,PS3,Racing,T,87,52,70,122,1.06
Call of Duty 4: Modern Warfare,DS,Shooter,T,75,22,68,36,1.05
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,Shooter,T,81,31,89,36,1.05
The Simpsons: Road Rage,XB,Racing,T,61,17,82,6,1.05
EA Sports UFC,PS4,Sports,T,70,57,60,279,1.05
Legacy of Kain: Soul Reaver,PS,Action,T,91,17,89,132,1.04
WWE SmackDown vs. Raw 2010,X360,Fighting,T,80,59,83,36,1.04
Naruto: Clash of Ninja 2,GC,Fighting,T,74,22,88,39,1.04
Need for Speed: Most Wanted,XB,Racing,T,83,32,87,29,1.04
The Simpsons Game,X360,Action,T,71,52,76,71,1.03
Brink,X360,Shooter,T,68,85,57,404,1.03
UFC Undisputed 3,PS3,Action,T,86,30,73,92,1.03
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,Shooter,T,84,29,80,41,1.03
The Legend of Zelda: Twilight Princess HD,WiiU,Action,T,86,74,83,329,1.03
Street Fighter Alpha 3,PS,Fighting,T,93,12,84,46,1.03
MotorStorm: Arctic Edge,PSP,Racing,T,79,58,87,39,1.02
Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,T,72,27,83,61,1.02
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,Shooter,T,86,58,80,89,1.02
Rock Band 2,Wii,Misc,T,92,10,76,45,1.02
Naruto: Clash of Ninja Revolution,Wii,Fighting,T,74,23,79,27,1.01
Ace Combat 6: Fires of Liberation,X360,Simulation,T,80,54,78,101,1.01
The Simpsons Game,Wii,Action,T,64,19,60,38,1.01
Prince of Persia,X360,Action,T,81,73,69,189,1.01
SoulCalibur II,XB,Fighting,T,92,39,88,54,1
Dynasty Warriors 3: Xtreme Legends,PS2,Action,T,72,16,92,54,1
UFC Undisputed 3,X360,Action,T,85,60,75,88,0.99
Oddworld: Abe's Exoddus,PS,Platform,T,88,13,90,69,0.99
The Bouncer,PS2,Action,T,66,20,79,35,0.99
DiRT 2,PS3,Racing,T,87,63,81,94,0.99
Guitar Hero: Aerosmith,PS3,Misc,T,70,39,49,26,0.99
Apollo Justice: Ace Attorney,DS,Adventure,T,78,48,80,84,0.99
Ace Combat X: Skies of Deception,PSP,Simulation,T,75,26,82,30,0.99
Midnight Club: LA Remix,PSP,Racing,T,79,26,86,43,0.98
Tales of Graces f,PS3,Role-Playing,T,77,55,81,336,0.98
WWE SmackDown vs Raw 2008,Wii,Fighting,T,59,13,58,18,0.98
Suikoden III,PS2,Role-Playing,T,86,23,76,113,0.98
Medal of Honor: Underground,PS,Shooter,T,86,16,89,44,0.97
Dark Cloud 2,PS2,Role-Playing,T,87,41,90,174,0.96
Guitar Hero: Warriors of Rock,Wii,Misc,T,77,26,74,17,0.96
PlayStation All-Stars Battle Royale,PS3,Action,T,74,69,72,540,0.95
Kessen,PS2,Strategy,T,75,20,83,12,0.95
Driver: San Francisco,PS3,Racing,T,79,53,76,114,0.95
Lost Planet 2,PS3,Shooter,T,68,56,68,62,0.95
Phantasy Star Portable,PSP,Role-Playing,T,64,38,77,19,0.94
WWE SmackDown vs. Raw 2009,PS3,Fighting,T,78,37,69,49,0.94
Bully,PS2,Action,T,87,69,90,293,0.94
Prince of Persia: The Sands of Time,XB,Action,T,92,41,77,72,0.94
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,Fighting,T,77,32,78,187,0.93
EA Sports UFC 2,PS4,Sports,T,79,38,61,157,0.93
Tony Hawk's Pro Skater 4,XB,Sports,T,90,25,84,21,0.93
White Knight Chronicles: International Edition,PS3,Role-Playing,T,64,77,74,213,0.93
SingStar Abba,PS3,Misc,T,70,26,54,4,0.93
Guitar Hero: Metallica,Wii,Misc,T,85,20,85,17,0.93
007: The World is not Enough,PS,Action,T,61,11,66,44,0.92
Phoenix Wright: Ace Attorney,DS,Adventure,T,81,53,91,203,0.92
